y, y_hat, random
0, 0.00048, 0.06642
0, 0.00052, 0.29459
0, 0.00007, 0.53626
0, 0.00016, 0.29248
1, 0.97261, 0.33981
0, 0.00156, 0.91730
0, 0.00052, 0.00894
0, 0.00128, 0.07628
0, 0.00023, 0.96390
0, 0.01093, 0.47847
0, 0.00000, 0.10962
0, 0.00911, 0.78233
0, 0.00003, 0.12041
1, 0.00221, 0.24283
0, 0.00050, 0.23089
0, 0.00642, 0.91427
0, 0.00001, 0.06338
1, 0.99902, 0.50920
0, 0.00001, 0.65418
0, 0.00020, 0.20280
0, 0.00012, 0.10093
0, 0.00014, 0.99192
0, 0.00725, 0.31963
0, 0.00049, 0.75464
0, 0.00005, 0.42335
0, 0.00000, 0.23262
0, 0.00000, 0.61947
0, 0.00056, 0.68080
1, 0.99993, 0.53104
0, 0.00011, 0.24383
0, 0.00004, 0.52476
0, 0.00018, 0.51415
0, 0.00016, 0.25232
0, 0.00000, 0.65247
0, 0.00005, 0.04574
0, 0.00003, 0.99760
0, 0.00036, 0.01591
0, 0.00005, 0.55729
0, 0.00009, 0.56906
0, 0.00014, 0.62166
0, 0.00013, 0.92942
0, 0.00003, 0.70913
0, 0.00000, 0.15107
0, 0.00016, 0.56402
0, 0.00000, 0.77545
0, 0.00012, 0.81427
0, 0.04018, 0.67988
1, 0.99452, 0.41381
0, 0.00073, 0.24120
0, 0.00008, 0.49673
0, 0.00016, 0.58666
0, 0.00052, 0.66839
0, 0.00023, 0.53986
0, 0.00014, 0.96649
0, 0.00128, 0.15778
0, 0.00110, 0.23085
0, 0.00001, 0.18571
0, 0.00003, 0.44602
1, 0.99977, 0.66314
0, 0.00007, 0.29578
0, 0.00052, 0.84675
0, 0.00018, 0.15111
0, 0.00012, 0.96666
0, 0.00000, 0.83094
0, 0.00114, 0.97420
0, 0.00058, 0.18829
0, 0.00000, 0.85517
0, 0.00031, 0.24489
0, 0.00035, 0.39900
0, 0.00063, 0.89737
0, 0.00013, 0.17623
0, 0.00009, 0.82358
0, 0.00083, 0.43308
0, 0.00019, 0.93835
0, 0.00011, 0.17004
0, 0.00021, 0.10642
1, 0.92969, 0.66887
0, 0.00000, 0.77882
0, 0.00014, 0.91735
0, 0.00038, 0.09503
0, 0.00001, 0.22614
0, 0.00104, 0.85623
0, 0.00001, 0.07608
0, 0.00016, 0.44947
0, 0.00024, 0.31730
0, 0.00009, 0.17686
0, 0.00008, 0.93491
0, 0.00007, 0.96370
0, 0.00012, 0.01041
0, 0.00019, 0.86545
0, 0.00032, 0.81327
0, 0.00011, 0.26274
0, 0.00035, 0.19291
0, 0.00029, 0.08482
0, 0.00112, 0.99737
0, 0.00422, 0.63247
0, 0.00113, 0.17629
0, 0.00011, 0.65601
0, 0.00019, 0.61463
0, 0.00081, 0.60288
0, 0.00069, 0.88947
0, 0.00000, 0.26566
1, 0.99965, 0.53596
1, 0.97261, 0.79260
0, 0.00014, 0.49644
0, 0.00024, 0.85080
0, 0.00063, 0.50954
1, 0.99165, 0.18349
0, 0.02104, 0.57525
0, 0.00027, 0.83345
0, 0.00053, 0.49910
0, 0.00024, 0.11824
0, 0.00001, 0.28862
1, 0.99592, 0.89998
0, 0.00039, 0.75602
0, 0.00013, 0.47883
0, 0.00028, 0.83725
0, 0.00142, 0.88277
0, 0.00120, 0.30540
0, 0.00053, 0.53323
1, 0.98795, 0.09686
0, 0.00015, 0.59934
0, 0.00002, 0.03547
0, 0.00000, 0.18852
0, 0.00011, 0.07849
0, 0.00107, 0.98019
0, 0.00043, 0.18275
0, 0.00000, 0.06044
0, 0.00073, 0.40815
0, 0.00225, 0.22788
0, 0.00638, 0.73126
0, 0.00026, 0.93410
0, 0.00128, 0.14442
0, 0.00007, 0.96106
0, 0.00032, 0.30050
0, 0.00023, 0.11610
0, 0.00046, 0.08902
0, 0.00024, 0.48237
0, 0.00767, 0.19531
0, 0.00019, 0.79316
0, 0.00000, 0.05469
0, 0.00007, 0.18702
0, 0.00005, 0.58270
0, 0.00053, 0.26540
0, 0.00022, 0.34580
0, 0.00540, 0.14054
0, 0.00097, 0.00938
0, 0.00011, 0.28512
0, 0.00001, 0.19230
1, 0.94854, 0.75164
0, 0.00024, 0.24194
0, 0.00011, 0.26989
0, 0.00004, 0.91698
0, 0.03841, 0.20763
0, 0.00017, 0.81645
0, 0.00847, 0.32562
0, 0.00019, 0.82077
0, 0.00014, 0.70055
0, 0.00150, 0.49786
1, 0.99882, 0.93090
0, 0.00003, 0.36759
0, 0.00047, 0.75070
0, 0.00296, 0.40750
0, 0.00047, 0.70012
0, 0.00578, 0.59359
0, 0.39233, 0.71947
0, 0.00004, 0.34553
0, 0.00005, 0.21044
0, 0.00001, 0.45923
0, 0.00121, 0.98192
0, 0.00000, 0.75823
0, 0.00116, 0.68479
1, 0.88473, 0.51573
0, 0.00103, 0.28327
0, 0.00022, 0.83877
0, 0.00000, 0.30892
0, 0.00028, 0.08324
0, 0.00011, 0.56199
0, 0.00020, 0.16049
0, 0.00035, 0.60313
0, 0.00032, 0.69883
0, 0.00002, 0.55896
0, 0.12516, 0.50343
0, 0.00062, 0.73757
1, 0.99412, 0.17767
0, 0.00093, 0.73974
0, 0.00001, 0.33869
0, 0.00117, 0.48305
0, 0.00000, 0.28220
0, 0.00052, 0.04489
0, 0.00143, 0.41964
1, 0.98286, 0.24154
0, 0.00001, 0.36173
0, 0.00018, 0.38918
1, 0.90133, 0.66570
0, 0.00015, 0.14174
0, 0.00051, 0.12003
1, 0.99996, 0.21430
0, 0.00049, 0.59214
0, 0.00010, 0.15301
0, 0.00014, 0.48918
0, 0.00008, 0.06585
0, 0.00077, 0.93955
0, 0.00003, 0.17487
0, 0.00016, 0.20489
0, 0.00010, 0.61685
0, 0.00004, 0.47726
0, 0.00006, 0.17390
0, 0.00001, 0.12224
0, 0.00086, 0.20130
0, 0.00007, 0.20275
0, 0.00005, 0.42477
1, 0.97274, 0.94720
0, 0.00064, 0.12071
0, 0.00228, 0.46217
0, 0.00174, 0.64046
0, 0.00002, 0.18335
0, 0.00109, 0.25783
1, 0.58203, 0.23257
0, 0.00010, 0.78900
0, 0.00015, 0.21926
0, 0.00068, 0.91384
0, 0.00001, 0.12203
0, 0.00037, 0.19097
0, 0.00001, 0.96919
0, 0.00008, 0.28965
0, 0.00105, 0.91765
0, 0.00161, 0.72475
1, 0.86507, 0.98136
1, 0.98927, 0.09625
0, 0.00080, 0.83492
1, 0.99592, 0.69728
0, 0.00000, 0.11835
0, 0.00000, 0.20047
1, 0.89026, 0.56745
0, 0.00006, 0.48591
0, 0.00008, 0.80955
1, 0.85237, 0.81422
0, 0.00041, 0.80460
0, 0.00006, 0.26786
0, 0.00000, 0.00238
0, 0.00044, 0.03390
0, 0.00096, 0.76777
0, 0.00000, 0.67749
0, 0.00259, 0.73716
1, 0.99965, 0.29173
0, 0.00008, 0.26892
0, 0.00014, 0.34959
1, 0.99882, 0.90367
0, 0.00010, 0.29570
0, 0.00053, 0.38377
0, 0.00002, 0.21091
0, 0.00133, 0.87245
0, 0.00001, 0.49350
